2019-08-18 16:16:32,220 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:32,885 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.499102065425729e-08
2019-08-18 16:16:32,887 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.2983737443631006e-16
2019-08-18 16:16:32,890 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 7.574794888002377e-20
2019-08-18 16:16:32,891 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:32,892 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:32,946 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.2101748941889083e-10
2019-08-18 16:16:32,948 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 6.7216978125047236e-21
2019-08-18 16:16:32,951 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 8.920444472000514e-23
2019-08-18 16:16:32,951 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:32,953 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:32,969 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 2.6526859506785476e-10
2019-08-18 16:16:32,971 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 4.4298895884494793e-20
2019-08-18 16:16:32,973 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.9005181887381322e-22
2019-08-18 16:16:32,974 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
